feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,1.238853,1.243148,0.68027335,-4.868072,-3.0746865,-8.173675
attn_0_0_outputs,1,0.31741944,0.6675796,0.59875584,-0.74731636,-1.1577901,-1.0011843
attn_0_0_outputs,2,-1.0877419,1.9231943,0.3949728,-1.539528,-1.1613191,-2.8614204
attn_0_0_outputs,3,-0.11632717,0.41220337,0.60158277,-0.28780693,-0.35998842,-0.59837425
attn_0_0_outputs,4,-0.19129646,0.30991477,0.4910216,-0.08420599,0.5274653,-0.19311686
attn_0_0_outputs,5,-0.40474758,-0.0207731,0.56750906,-0.62817794,1.2629008,0.54661673
attn_0_0_outputs,6,-1.8074787,-0.30840394,2.049226,0.3926784,-1.7478626,5.0987434
attn_0_0_outputs,7,-1.731275,-0.15045756,0.36238095,0.8407283,4.7304835,-2.225291
attn_0_1_outputs,0,0.5155269,-0.23179123,0.9619248,0.8720239,-4.370495,-2.8444674
attn_0_1_outputs,1,-0.032038573,0.15968679,-0.11178788,-0.96792173,-1.093138,-1.0469398
attn_0_1_outputs,2,-0.49667308,0.20647019,0.9112648,-1.1316853,0.0978555,-0.8900808
attn_0_1_outputs,3,-0.19489852,0.30834976,0.29149553,-0.5899691,-1.2079358,-0.4888331
attn_0_1_outputs,4,-0.7092352,0.40705568,1.2359505,-0.14838673,-1.4845357,-0.8633547
attn_0_1_outputs,5,-1.7096843,0.57668656,1.8166345,-1.3838611,2.8332915,1.320257
attn_0_1_outputs,6,-1.8643975,-0.14910048,1.1025906,-0.046011463,1.486126,3.767073
attn_0_1_outputs,7,-1.6024725,-0.0244187,1.0061564,-0.68429786,3.118972,-2.3170335
attn_0_2_outputs,0,1.2139428,1.788951,-0.6449291,-4.5301723,-3.1953726,-8.304671
attn_0_2_outputs,1,0.2632638,0.2750803,-0.058388937,-0.96432394,-1.2596529,-0.82894176
attn_0_2_outputs,2,-0.06439551,0.10690294,-0.5768559,-1.3450785,-1.2679642,-1.0744632
attn_0_2_outputs,3,0.071711585,0.59252673,0.50191075,-0.10376727,-0.6866497,-0.6754526
attn_0_2_outputs,4,0.10581133,0.1553707,0.038040042,0.071251996,0.29624116,0.06374497
attn_0_2_outputs,5,-1.8224907,0.8820499,0.9754138,-1.1711323,2.2756393,-0.019901173
attn_0_2_outputs,6,-1.8428569,0.5488585,2.5900345,1.2428666,-0.56255573,5.247683
attn_0_2_outputs,7,-2.4727259,0.5789163,1.2076744,1.0896817,5.294417,-2.1652772
attn_0_3_outputs,0,-0.5514277,1.2344804,0.32450405,-1.3071667,-3.758229,-5.2093534
attn_0_3_outputs,1,-0.5949326,0.017211447,-0.21026301,-1.1978165,-1.1930654,-1.3590801
attn_0_3_outputs,2,-0.9301655,0.37480146,1.6829457,-0.75800765,-0.65382415,-0.49428207
attn_0_3_outputs,3,-0.27631456,0.27953884,0.43736613,-0.38235372,-0.5264454,-0.63245666
attn_0_3_outputs,4,-0.93398,0.5528436,1.5676297,0.10561387,-0.64765644,-0.28653306
attn_0_3_outputs,5,-1.6023785,0.24490198,1.8999624,-1.2599331,0.92110413,0.8147831
attn_0_3_outputs,6,-1.3627234,0.13494563,1.5294584,0.40429628,1.4354382,4.1456857
attn_0_3_outputs,7,-1.6638067,0.09259084,1.1263107,-0.0054527083,2.0681398,-2.6293533
attn_1_0_outputs,0,-0.9760603,0.9746706,-0.4910691,-0.28577244,-0.55609435,-0.629483
attn_1_0_outputs,1,0.027657213,0.029981421,-0.24031596,-0.596706,-0.17725739,-0.60143006
attn_1_0_outputs,2,-1.6395041,0.9376783,-0.6826759,-0.34162158,-0.6060739,-0.91161937
attn_1_0_outputs,3,-1.273714,0.48423272,1.1538424,-0.8714459,-1.4124024,-1.35856
attn_1_0_outputs,4,-0.8404264,0.92396635,1.5313677,-1.2234914,-3.3400934,-4.8241587
attn_1_0_outputs,5,-1.8222586,0.9126125,0.56483024,-0.6948536,2.166879,1.4243178
attn_1_0_outputs,6,-0.52920604,-1.4131529,-0.1339102,2.2840686,-0.79413146,4.49058
attn_1_0_outputs,7,-0.37916443,-0.98024577,0.21309751,0.6570406,3.8979933,-0.9583814
attn_1_1_outputs,0,1.1848046,-0.78384286,4.3952165,-4.754357,-2.5311391,-4.304711
attn_1_1_outputs,1,-0.13832416,0.7882959,-0.02595803,-1.5303969,-1.0957807,-1.3929857
attn_1_1_outputs,2,-0.50316894,-0.22863217,1.5112969,-0.29604048,-0.580187,-1.3095005
attn_1_1_outputs,3,-0.79329056,0.42733788,0.14356261,0.6288875,-0.19792889,-0.26626664
attn_1_1_outputs,4,-1.9033594,1.7780949,1.592835,-1.8940227,-2.7704701,-0.5928191
