feature,value,F,P,T
attn_0_0_outputs,(,-2.6340582,3.296491,-0.44525737
attn_0_0_outputs,),2.815133,-2.8173714,-0.077561244
attn_0_0_outputs,<pad>,0.31516382,0.6258608,0.51490164
attn_0_0_outputs,<s>,-0.7577929,1.2806988,0.021066613
attn_0_0_outputs,_,0.1783087,-0.022254534,-0.33423853
attn_0_0_outputs,_,0.10090828,-0.2582165,0.1490271
attn_0_0_outputs,_,-0.15222801,-0.89355934,0.5346948
attn_0_0_outputs,_,0.29934147,-0.37996712,-0.39817178
attn_0_0_outputs,_,-0.16398807,0.25323474,-0.46668038
attn_0_0_outputs,_,0.028858155,0.07219034,-0.06156428
attn_0_0_outputs,_,0.06055783,0.2945571,-0.19819283
attn_0_0_outputs,_,-0.25926435,-0.16323452,0.4009143
attn_0_0_outputs,_,0.52586144,0.20267111,0.8969524
attn_0_0_outputs,_,0.22868425,0.1599105,-0.37888685
attn_0_0_outputs,_,0.22064249,0.11402117,0.7742326
attn_0_0_outputs,_,-0.24329506,0.19571169,-0.46124965
attn_0_1_outputs,(,-0.36807892,1.1088231,0.27818483
attn_0_1_outputs,),-0.41888747,-0.09075923,-0.527925
attn_0_1_outputs,<pad>,-0.85293067,-0.5840806,-0.40153265
attn_0_1_outputs,<s>,2.7544026,0.20201652,-2.4185522
attn_0_1_outputs,_,-0.3167692,-0.082709216,0.993802
attn_0_1_outputs,_,0.80444956,-1.1216061,-0.76241434
attn_0_1_outputs,_,0.90439874,-0.15584756,-0.8316175
attn_0_1_outputs,_,0.6542889,0.48348022,0.032383945
attn_0_1_outputs,_,0.5817215,-0.064832136,0.2867886
attn_0_1_outputs,_,0.49341214,-0.33040112,-0.03182304
attn_0_1_outputs,_,-0.083858415,0.5024774,0.1928215
attn_0_1_outputs,_,0.3615586,0.16559708,-0.07771133
attn_0_1_outputs,_,1.004799,-0.7025519,-0.46842074
attn_0_1_outputs,_,0.43362275,0.28161952,-0.0104415575
attn_0_1_outputs,_,-0.31160653,0.23411115,-0.57747537
attn_0_1_outputs,_,-0.37716666,0.5208574,-0.76324815
attn_0_2_outputs,(,-0.030860722,1.7733968,-1.1154492
attn_0_2_outputs,),0.8185658,0.98675424,-0.65843534
attn_0_2_outputs,<pad>,-0.18944798,1.2176713,-0.42110875
attn_0_2_outputs,<s>,-0.34205785,-1.2517091,-0.5264156
attn_0_2_outputs,_,-0.66757905,0.14454332,-0.24297304
attn_0_2_outputs,_,0.88671744,0.62714237,0.2174341
attn_0_2_outputs,_,-0.100170776,0.9241575,-0.67759424
attn_0_2_outputs,_,-0.258302,1.2594484,-0.8207846
attn_0_2_outputs,_,0.7526842,0.39307418,-0.562563
attn_0_2_outputs,_,-0.6082082,0.36667,0.17507246
attn_0_2_outputs,_,0.16467999,0.74238044,-0.7653758
attn_0_2_outputs,_,-0.4535027,0.41556233,0.13512231
attn_0_2_outputs,_,0.28487095,0.34868884,-0.17336306
attn_0_2_outputs,_,-0.30027777,0.45009154,-0.021399405
attn_0_2_outputs,_,-0.115277715,0.6226942,0.47862878
attn_0_2_outputs,_,0.3414086,-0.04924957,-0.71807915
attn_0_3_outputs,(,-0.52774686,1.061042,-1.3247046
attn_0_3_outputs,),0.53207314,-0.51257735,0.37381876
attn_0_3_outputs,<pad>,1.2845441,-0.9961886,-1.6160716
attn_0_3_outputs,<s>,-0.07281321,0.24826683,0.22082955
attn_0_3_outputs,_,-0.40482992,-0.7973792,-0.39291495
attn_0_3_outputs,_,0.6773935,-0.1490348,-0.9378139
attn_0_3_outputs,_,-2.6586642,0.3645929,1.424275
attn_0_3_outputs,_,0.5714178,-0.15675014,-0.5435661
attn_0_3_outputs,_,-0.3804901,1.0324043,0.24484947
attn_0_3_outputs,_,0.34369984,0.27104208,-0.39457268
attn_0_3_outputs,_,0.7677406,0.23606537,-0.36674848
attn_0_3_outputs,_,0.72403216,0.94206196,-0.33496436
attn_0_3_outputs,_,-0.606932,0.45185584,-0.014735105
attn_0_3_outputs,_,-0.47034562,0.1342081,0.53295195
attn_0_3_outputs,_,0.14294454,-0.304042,0.20307107
attn_0_3_outputs,_,0.3230739,-0.42828202,-1.0465811
attn_1_0_outputs,(,-0.6138929,1.1492342,-0.21226932
attn_1_0_outputs,),1.1421751,0.88136363,0.98169017
attn_1_0_outputs,<pad>,0.4028954,-0.85677516,-0.023720358
attn_1_0_outputs,<s>,1.0315775,-0.8483394,-1.2852764
attn_1_0_outputs,_,0.15765458,-0.6344901,-0.5549551
attn_1_0_outputs,_,-0.05087188,0.29270756,-0.5156284
attn_1_0_outputs,_,1.1122603,-0.8028311,-0.06559855
attn_1_0_outputs,_,-0.48832175,-0.15441939,-0.2644985
attn_1_0_outputs,_,-0.37901145,-0.03420561,-0.5548248
attn_1_0_outputs,_,0.05604345,-0.97195405,1.0271589
attn_1_0_outputs,_,0.55539984,0.057354666,-0.4074509
attn_1_0_outputs,_,-0.77038145,-0.09844211,0.07271357
attn_1_0_outputs,_,0.52502674,-0.008494564,0.5783807
attn_1_0_outputs,_,-0.7112233,0.87106544,0.24254535
attn_1_0_outputs,_,0.29931223,-0.7983458,-0.2591785
attn_1_0_outputs,_,1.1367513,-1.1649325,-0.25845855
attn_1_1_outputs,(,-0.5425992,1.5051843,-0.28839168
attn_1_1_outputs,),1.5574366,-1.0693368,0.14204933
attn_1_1_outputs,<pad>,0.58851004,0.6008777,-0.07114553
attn_1_1_outputs,<s>,-0.32155347,-1.0976663,-1.4935772
attn_1_1_outputs,_,0.17493103,-0.38030365,0.53236455
attn_1_1_outputs,_,1.0686699,-0.120278545,-0.56144714
attn_1_1_outputs,_,1.3084234,0.3557633,-0.14442345
attn_1_1_outputs,_,0.47586453,0.20887673,-0.15990862
attn_1_1_outputs,_,0.13891101,0.68185794,-0.5525119
attn_1_1_outputs,_,-0.6078569,1.2303034,-2.18228
attn_1_1_outputs,_,0.91525626,-0.67010164,-0.21897195
attn_1_1_outputs,_,1.4655004,-0.47915524,0.97498626
attn_1_1_outputs,_,1.1796371,-1.6545213,-0.45778522
attn_1_1_outputs,_,-0.7026438,0.5664589,1.0344129
attn_1_1_outputs,_,0.5785904,0.5293408,0.37516353
attn_1_1_outputs,_,2.3779967,-2.060698,-1.0075454
attn_1_2_outputs,(,-0.056032557,0.6231306,0.24149144
attn_1_2_outputs,),0.44365737,-0.98022085,-0.64319813
attn_1_2_outputs,<pad>,0.08831471,-0.29584908,-0.15343662
attn_1_2_outputs,<s>,-1.3659412,3.5988708,-0.66621685
attn_1_2_outputs,_,-0.1274261,0.34521273,0.027675765
