feature,value,0,1,2,3,4
attn_0_0_outputs,0,2.742066,-1.7750658,-1.5919067,-1.4220088,-0.5447206
attn_0_0_outputs,1,-1.7905326,3.2459338,-1.0251777,-0.35510015,-1.285745
attn_0_0_outputs,2,-1.3913494,0.42532334,3.6383674,-1.5303861,-0.04807833
attn_0_0_outputs,3,0.49622118,-0.41630313,-1.4269036,3.259316,-1.6067595
attn_0_0_outputs,4,-0.6003677,-0.21356046,-2.0015326,-0.8214214,2.7384455
attn_0_0_outputs,</s>,-0.21139087,-0.061902717,2.2465034,1.0147868,-1.6599561
attn_0_0_outputs,<pad>,0.92124563,0.5974984,0.154064,0.34046212,0.059019208
attn_0_0_outputs,<s>,0.24552345,0.39865023,0.20082256,-0.15461971,0.67986333
attn_0_1_outputs,0,7.673302,-3.501045,-5.5389047,-4.3190165,-1.769243
attn_0_1_outputs,1,-1.9890903,7.9207335,-3.289247,-3.0845697,-2.3067732
attn_0_1_outputs,2,-4.705924,-3.0480518,7.011647,-0.6278108,-3.4870532
attn_0_1_outputs,3,-3.1684492,-2.9271348,-2.6957874,7.3821106,-2.4872382
attn_0_1_outputs,4,-1.5438712,-3.585505,-2.7780457,-3.6590195,6.381682
attn_0_1_outputs,</s>,2.4767106,-0.34512123,-2.5959194,1.4119138,-3.1488388
attn_0_1_outputs,<pad>,0.1414338,-0.32987177,-0.14424743,0.121554226,0.069688104
attn_0_1_outputs,<s>,-0.67165095,-0.29987463,0.9411148,-1.1158872,0.9772637
attn_0_2_outputs,0,2.8864198,0.5736399,-1.7944727,1.275154,-3.7867603
attn_0_2_outputs,1,1.286558,3.8100312,0.2034576,-4.1266513,-2.4538345
attn_0_2_outputs,2,-3.55232,-2.6151497,2.8218007,0.27975446,0.9032074
attn_0_2_outputs,3,2.0676212,-1.8931607,-1.0893198,2.6283581,-3.3388352
attn_0_2_outputs,4,-2.601808,1.4966966,-5.524055,-3.3436193,6.786246
attn_0_2_outputs,</s>,-1.2964387,-1.184649,3.191794,0.26659352,-0.07239697
attn_0_2_outputs,<pad>,-0.00678445,-0.12167784,-0.28402784,-0.1283455,0.53786683
attn_0_2_outputs,<s>,0.46426013,-0.44629773,0.791248,0.34926856,-0.41215342
attn_0_3_outputs,0,-0.1498222,1.2560209,0.19964494,0.6762862,-1.121879
attn_0_3_outputs,1,0.64040285,1.9587319,1.4074128,-3.5538082,0.9837679
attn_0_3_outputs,2,-1.5384316,-0.65306073,2.1958265,0.9510098,-3.2979362
attn_0_3_outputs,3,-0.81305355,-1.5002078,0.020203998,0.63694465,0.60759926
attn_0_3_outputs,4,-1.5025858,1.7346878,-1.3115505,1.4721668,1.8840551
attn_0_3_outputs,</s>,4.6110573,0.39784852,-4.7847724,0.5624679,-2.1006687
attn_0_3_outputs,<pad>,-0.4865959,-0.75623137,-0.559213,-0.6034367,-0.19291799
attn_0_3_outputs,<s>,-0.6616858,-0.70004207,1.4663161,-2.5758874,0.58236104
attn_1_0_outputs,0,5.14012,-2.0321715,-3.1873803,-2.161212,-2.924637
attn_1_0_outputs,1,-1.1760738,6.243624,-2.292563,-2.3656707,-1.8633323
attn_1_0_outputs,2,-1.8438314,-2.2223895,7.2542777,-1.7975602,-2.8767316
attn_1_0_outputs,3,-1.4480008,-2.8605947,-2.552013,6.218815,-2.0353441
attn_1_0_outputs,4,-1.8545668,-2.4011686,-2.4577968,-0.8337147,5.6437707
attn_1_0_outputs,</s>,1.4606192,-0.65165573,-0.96397144,1.39993,-2.030799
attn_1_0_outputs,<pad>,0.22300358,-0.5646053,-0.41895154,0.40009347,-0.45633748
attn_1_0_outputs,<s>,-0.5169577,-0.574157,0.06152434,-0.45967716,0.7860707
attn_1_1_outputs,0,-1.729071,0.3904098,1.063312,0.9541465,0.64347845
attn_1_1_outputs,1,0.14294437,0.5665816,1.1513399,1.1456755,-0.45402047
attn_1_1_outputs,2,-0.47264585,-1.2265207,0.73496914,-0.27962002,1.5110021
attn_1_1_outputs,3,0.55221164,0.74901503,-0.2234499,0.46550083,0.13538252
attn_1_1_outputs,4,-0.887349,-2.3832846,-0.090858944,-0.27379212,2.0423574
attn_1_1_outputs,</s>,0.44976777,0.99956155,-0.25536492,0.0694434,-0.45211685
attn_1_1_outputs,<pad>,0.30245078,0.1915722,-0.34525523,0.6264211,0.28215456
attn_1_1_outputs,<s>,0.64166284,-0.9103854,0.21581404,-0.1512637,-0.53048915
attn_1_2_outputs,0,-6.9120216,2.9334385,3.5168996,1.5317044,3.1637955
attn_1_2_outputs,1,1.3649912,-8.357152,1.0929214,2.8909745,2.2582288
attn_1_2_outputs,2,1.6044966,2.746573,-9.02028,2.4642735,2.3857315
attn_1_2_outputs,3,1.3656769,3.410438,1.7813203,-7.0019917,2.6581526
attn_1_2_outputs,4,1.7743725,2.7270765,2.717991,2.2948518,-7.542405
attn_1_2_outputs,</s>,-0.2602812,-0.3624655,1.7670982,-0.119142905,-1.4537865
attn_1_2_outputs,<pad>,-0.4052089,-0.016108118,0.87777245,0.1692151,0.259325
attn_1_2_outputs,<s>,-0.61002606,0.6863391,1.1960802,-0.972229,-0.3090549
attn_1_3_outputs,0,3.147749,-2.74755,-2.6375554,-1.7992983,-1.8083935
attn_1_3_outputs,1,-0.3166353,3.135929,-2.0476818,-1.5201313,-0.9221027
attn_1_3_outputs,2,-0.82175285,-1.7785048,4.262148,-1.098342,-1.320515
attn_1_3_outputs,3,-0.48976257,-1.4941785,-2.4922595,3.688606,-0.7487961
attn_1_3_outputs,4,-2.8958664,0.9745885,-1.7469578,0.11342506,2.1992576
attn_1_3_outputs,</s>,0.9585229,-0.021460164,-0.068051144,-0.5773519,-0.15273045
