feature,value,0,1,2,3,4
attn_0_0_outputs,0,2.058161,-0.63779896,0.352272,0.5141959,-1.740315
attn_0_0_outputs,1,-2.4275339,2.824267,1.1222093,-0.29264563,-1.6031634
attn_0_0_outputs,2,-0.66014487,0.4371716,0.6551343,0.1385141,-0.82386607
attn_0_0_outputs,3,-1.4426589,-0.6121028,0.95834476,3.1481867,-2.513183
attn_0_0_outputs,4,-5.1414647,-4.19145,-2.107596,0.40243983,5.3070917
attn_0_0_outputs,</s>,-2.1824768,-2.4896393,-1.6732111,-0.5224847,3.0039287
attn_0_0_outputs,<pad>,-0.29941246,0.6749306,0.05445957,-0.16473089,0.30180916
attn_0_0_outputs,<s>,-1.52416,-1.9376818,-1.7669702,-1.5059099,3.1769867
attn_0_1_outputs,0,2.1742406,-0.104620405,0.667535,0.56420654,-0.70504665
attn_0_1_outputs,1,-1.0247861,2.315593,0.35188147,-0.6513114,-1.2275088
attn_0_1_outputs,2,-0.4099264,0.6904153,0.5056659,-0.7560546,-0.83760774
attn_0_1_outputs,3,-1.055448,-0.52389306,1.1448267,3.5426579,-2.5540905
attn_0_1_outputs,4,-3.743604,-3.8234832,-2.1349356,-0.02523663,4.5795074
attn_0_1_outputs,</s>,-6.0711293,-3.95341,-1.697248,0.52152914,5.3833594
attn_0_1_outputs,<pad>,0.4076765,0.08954932,-0.14387824,0.091574,0.20851962
attn_0_1_outputs,<s>,-0.38013995,0.15324089,0.36798063,0.38066244,0.54085183
attn_0_2_outputs,0,5.2839427,-2.605443,-1.1492563,-1.7018955,-1.4085128
attn_0_2_outputs,1,-1.1856108,0.3934325,0.09754402,1.237557,1.0921215
attn_0_2_outputs,2,-1.2996812,-0.00338279,0.70976466,0.60546106,0.31050247
attn_0_2_outputs,3,-1.7861035,0.39520007,0.18829803,2.3311763,-1.300178
attn_0_2_outputs,4,-9.374754,-5.7489552,-2.4201286,1.2188936,6.6614056
attn_0_2_outputs,</s>,-0.24304307,0.06899596,0.06185269,0.42859817,0.07496456
attn_0_2_outputs,<pad>,0.54609865,0.4358928,0.3134578,0.6048993,0.7376409
attn_0_2_outputs,<s>,-2.2961771,2.386299,1.5124247,0.1737369,-2.5670602
attn_0_3_outputs,0,0.3295003,-0.1827127,-0.18133737,-0.013248737,-0.10451385
attn_0_3_outputs,1,-0.45805857,0.50490904,0.15572038,-0.71143156,-0.13632512
attn_0_3_outputs,2,-0.060173124,0.06350225,0.20524347,0.15398552,0.42267397
attn_0_3_outputs,3,-1.0496696,0.57741636,-0.8549515,2.4007623,-1.0587981
attn_0_3_outputs,4,-2.2801893,-0.99242985,-0.45985192,-0.20450349,2.3491073
attn_0_3_outputs,</s>,-5.532329,-2.3926458,-0.032455105,2.7236922,3.9317892
attn_0_3_outputs,<pad>,0.12758909,-0.13754353,0.030744994,-0.15796055,0.30099612
attn_0_3_outputs,<s>,-0.41964686,-1.7669121,-1.2862828,0.43886116,2.138884
