feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,0.126095,-0.09308497,-0.04164269,1.1473964,-0.65259224,-0.5759567
attn_0_0_outputs,1,0.2643548,0.057178997,0.34055573,-0.13716577,-0.2368343,-0.39215782
attn_0_0_outputs,2,0.09445334,-0.113155134,0.09719708,-0.3638223,-0.7040596,-1.0189345
attn_0_0_outputs,3,0.3111331,0.07621635,0.29869452,-0.11679748,-0.4302198,-0.4611198
attn_0_0_outputs,4,0.1457545,-0.08105723,0.16098967,0.43949932,0.038392957,-0.3110958
attn_0_0_outputs,5,0.2503496,-0.0776672,0.2193873,-0.16906078,-0.25772113,-0.5475772
attn_0_0_outputs,6,0.6186277,0.37508786,0.42960152,-0.44146442,-0.41667625,-0.62044233
attn_0_0_outputs,7,0.55322224,0.21084103,0.76800203,-0.35938764,0.6075319,-4.7059984
attn_0_1_outputs,0,-0.20470576,-0.5146743,-0.045462333,-0.7030797,8.210753,2.5101397
attn_0_1_outputs,1,0.92150104,0.72936517,-1.0153459,0.9652804,2.3336089,1.3663455
attn_0_1_outputs,2,0.039329447,-0.25970924,-0.53097314,0.094466195,-1.3910042,-0.7387352
attn_0_1_outputs,3,0.30621508,0.059149753,0.13238326,0.42272153,0.28027993,0.14599061
attn_0_1_outputs,4,0.13979882,-0.12561479,0.2264524,-0.007633883,0.46641046,-0.11170333
attn_0_1_outputs,5,-0.21153452,-0.42493245,-0.2567995,-0.22684059,1.0124276,-0.56272596
attn_0_1_outputs,6,0.6481529,0.54434663,0.0014183833,0.29601145,-5.983322,-1.2265881
attn_0_1_outputs,7,0.5336258,0.4396987,-0.00064421905,0.07741543,-4.62246,-7.6855483
attn_0_2_outputs,0,1.7004082,1.068717,0.67274964,-2.202218,-14.525051,-24.145012
attn_0_2_outputs,1,-0.34902173,-0.46517774,-0.26951686,0.4179399,2.3199003,3.5011954
attn_0_2_outputs,2,-0.30551437,-0.49071354,-0.20850673,0.52268445,2.352511,3.313084
attn_0_2_outputs,3,-0.36689532,-0.6685318,-0.4558378,0.18013526,2.1214046,3.1762848
attn_0_2_outputs,4,-0.42851058,-0.6440964,-0.38658094,0.28424677,2.1883128,2.630304
attn_0_2_outputs,5,0.045050662,-0.07220718,0.047026966,0.6048806,2.6343098,2.9428246
attn_0_2_outputs,6,-0.27480802,-0.30446512,-0.2069842,0.5289953,2.8373914,2.2616675
attn_0_2_outputs,7,0.06093425,0.14711075,0.24991485,0.32365993,2.6028795,-4.8855653
attn_0_3_outputs,0,0.09755095,0.18649152,-0.27435488,-1.9707323,-1.4276974,-2.0362265
attn_0_3_outputs,1,0.35753757,0.23701514,-0.25319183,-0.6494274,-1.605695,-0.7366025
