feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,-0.06295917,0.014293604,0.17375995,0.2374285,0.16135709,-2.3700309
attn_0_0_outputs,1,0.4584908,0.8129479,0.13056886,-0.36152157,-1.6075209,-5.194479
attn_0_0_outputs,2,0.089685656,0.52217436,-0.12336088,0.11945248,0.013684569,2.3494704
attn_0_0_outputs,3,0.10708076,0.32946175,-0.097356774,-0.50458735,-0.003776486,-6.0189824
attn_0_0_outputs,4,0.038244974,0.5161751,-0.116177574,-0.26640728,-0.47624892,-1.6988304
attn_0_0_outputs,5,-0.42620856,0.18934768,0.094429985,0.34061226,0.37301713,-1.2785338
attn_0_0_outputs,<pad>,0.34631127,0.43542147,-0.6082564,-0.91864085,-1.0744346,-0.3732216
attn_0_0_outputs,<s>,-0.8219098,-0.17923205,-0.3585661,-0.15758307,-0.22542316,3.2869215
attn_0_1_outputs,0,0.30967423,0.3310124,0.6564944,0.4101461,0.2073964,-6.9665956
attn_0_1_outputs,1,-0.1023256,-0.044587243,-0.019655522,-0.31899336,-0.7204993,1.5434331
attn_0_1_outputs,2,-0.23485054,-0.029699981,0.27656674,0.39092943,0.21509004,1.9753723
attn_0_1_outputs,3,-0.15720263,-0.009605015,0.2591596,0.30115637,0.08549679,0.09654842
attn_0_1_outputs,4,-0.2520386,-0.17237018,-0.026754882,-0.14581338,-0.20428407,-0.8163857
attn_0_1_outputs,5,-0.43467718,-0.21481638,0.10866257,0.15318905,0.26070118,-5.450105
attn_0_1_outputs,<pad>,0.33357063,-0.39259133,-0.3065584,0.3657652,-0.6397589,-0.3948353
attn_0_1_outputs,<s>,1.6543864,0.31200975,-2.1727695,-4.233708,-2.8057907,-2.1018698
attn_0_2_outputs,0,-0.38438258,-0.087354325,-0.013942147,-0.07640846,-0.050126184,-7.890671
attn_0_2_outputs,1,0.036597844,0.36128137,0.21158686,-0.09219154,-0.13800633,-1.6524208
attn_0_2_outputs,2,-0.22547495,0.091502085,0.35842818,0.58195186,0.7712856,2.4332159
attn_0_2_outputs,3,-0.18135996,0.11115863,0.11954708,-0.13430981,-0.2939492,-0.105130926
attn_0_2_outputs,4,-0.04520723,0.29098848,0.31972167,-0.21931992,-0.22897749,0.002256487
attn_0_2_outputs,5,0.3713543,0.4726616,0.011025765,-0.5361378,-1.1259434,1.2617288
attn_0_2_outputs,<pad>,0.8399227,0.09749234,0.031652465,-0.2608353,-0.7211905,0.03711387
attn_0_2_outputs,<s>,-0.022308098,0.04609578,-0.042325485,-0.36517054,-1.2309402,-10.47083
attn_0_3_outputs,0,0.05044901,0.27741432,0.47866264,0.22337086,-2.5642107,-3.5839322
attn_0_3_outputs,1,-0.6032926,-0.26359576,-0.041713107,-0.14293598,-0.32845452,-0.8579648
attn_0_3_outputs,2,-0.25043702,-0.1062168,0.089176625,-0.022296766,-0.28913644,-1.5731925
attn_0_3_outputs,3,0.09926989,-0.17373413,0.047828577,-0.15831897,-0.2618141,-1.0546708
attn_0_3_outputs,4,1.1458437,0.32160622,0.5224297,0.39155087,0.44020104,-0.6260451
attn_0_3_outputs,5,-0.014181285,-0.19254735,0.19396502,0.32687333,0.25245485,-0.79316753
attn_0_3_outputs,6,-0.64888465,-0.21096854,0.16817422,0.20057704,0.28368333,1.6117973
attn_0_3_outputs,7,-0.88892174,-0.097115114,0.810354,0.9330877,1.3666925,0.55028266
attn_0_4_outputs,0,-0.9943296,-0.2713496,0.18925066,0.78597385,0.7404901,9.721014
attn_0_4_outputs,1,-0.53529495,-0.24802512,-0.07301371,-0.2128361,-0.5323327,-5.287317
attn_0_4_outputs,2,-0.49657267,-0.2935739,-0.2506737,-0.28489667,-1.0833147,-4.2805142
attn_0_4_outputs,3,0.02144675,0.41175243,0.40321383,0.7133756,-0.42130917,-3.4384527
attn_0_4_outputs,4,0.45145082,0.40570965,0.37513465,0.05239873,-0.036838908,-5.347694
attn_0_4_outputs,5,0.22808167,0.20057087,0.21407141,0.053428743,0.1895014,-6.361212
