feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.30171266,-0.13712072,-0.041406572,0.037372593,-0.25339344,0.035309434,0.6276509
attn_0_0_outputs,1,0.32080778,-0.5030359,0.102292985,0.12882085,0.1466285,0.22958262,-0.6678447
attn_0_0_outputs,2,0.5121247,0.06656867,-0.8305479,0.10393308,-0.026885688,0.29054424,-1.3388638
attn_0_0_outputs,3,0.31026217,-0.15869439,-0.10987669,-0.5167122,-0.07976505,0.03574456,-0.029510552
attn_0_0_outputs,4,0.6129585,0.20975468,-0.14413367,0.2639666,-0.7605222,0.0848511,0.6281154
attn_0_0_outputs,5,0.7645159,0.3559406,0.3724836,0.5064628,0.11102538,-0.5548864,0.6802234
attn_0_0_outputs,<pad>,0.34165046,-0.073256135,-0.3064713,0.24174486,0.14112858,-0.05179519,0.6634006
attn_0_0_outputs,<s>,0.36605978,-0.4350823,0.104467735,-0.0406398,0.9390107,-0.0912795,-3.53514
attn_0_1_outputs,0,0.2778516,0.13931407,-0.22275501,-0.37589398,-0.55286574,0.20464075,-0.06507148
attn_0_1_outputs,1,-0.006407395,0.15616807,-0.05141885,-0.80367774,0.6216202,-0.087557375,-0.13998821
attn_0_1_outputs,2,-1.0559887,0.87807465,0.12065294,-1.8092483,1.0026816,0.7176798,0.018554725
attn_0_1_outputs,3,0.14328927,-0.37191918,0.09886103,2.474556,-3.7645328,1.095885,1.4186548
attn_0_1_outputs,4,-0.49851444,-0.07697598,-0.24922015,-1.032792,2.302834,-0.01626522,-4.0076475
attn_0_1_outputs,5,0.083389394,0.23851518,0.18783437,-0.33952922,-0.13383144,0.18770553,0.52101815
attn_0_1_outputs,<pad>,0.11232452,-0.22461478,0.29052898,-0.52833486,0.49009746,-0.4149448,0.8530363
attn_0_1_outputs,<s>,-0.22046667,0.17593764,-0.20319614,-1.1752284,-4.256025,0.22466522,6.729668
attn_0_2_outputs,0,0.16029611,0.30247918,0.11981317,0.16745228,-0.16937539,0.35972705,0.47493792
attn_0_2_outputs,1,-0.11282084,0.093043566,-0.30330226,0.44294307,-0.268443,-0.19209443,-0.42814696
attn_0_2_outputs,2,0.13837646,0.08744366,0.7852142,0.29683456,0.43887126,0.19514614,-0.89800096
attn_0_2_outputs,3,-0.017777596,0.33180693,0.14004804,0.27302313,0.1294757,0.5904898,0.14359905
