feature,value,0,1,2,3,4
attn_0_0_outputs,0,6.9886675,1.9029737,-1.5632732,-4.666394,-6.6998963
attn_0_0_outputs,1,2.808001,3.347147,0.15896283,-2.8454115,-5.028731
attn_0_0_outputs,2,-0.9442088,0.086697936,2.8916383,0.13243037,-2.0047884
attn_0_0_outputs,3,-5.0501323,-3.2974973,-0.2889569,3.5421517,1.7046565
attn_0_0_outputs,4,-6.3542542,-4.6292524,-1.617208,2.236299,7.221099
attn_0_0_outputs,</s>,-1.2565033,-0.85322773,0.024527336,0.8092462,0.7044034
attn_0_0_outputs,<pad>,0.215054,-0.6509929,-0.43638363,0.19641109,0.49052995
attn_0_0_outputs,<s>,-0.58543414,-0.4350722,-0.11593681,-0.010477837,0.035624333
attn_0_1_outputs,0,8.321785,2.2734017,-1.3977479,-7.016843,-9.175802
attn_0_1_outputs,1,6.1663084,8.126509,-0.13728762,-7.441755,-11.841383
attn_0_1_outputs,2,-0.9028804,0.18783027,5.3251595,-2.1351826,-6.537742
attn_0_1_outputs,3,-6.775278,-5.8244658,-1.1134557,7.1989717,1.5569733
attn_0_1_outputs,4,-9.164681,-8.360944,-3.933387,3.6149611,13.612795
attn_0_1_outputs,</s>,-3.547872,-4.1135654,-2.683632,2.05698,6.5400867
attn_0_1_outputs,<pad>,-0.20318432,0.13683431,-0.14054358,0.1945901,0.143777
attn_0_1_outputs,<s>,-0.2252483,-0.39968184,-1.0448881,0.33150062,0.60946065
attn_0_2_outputs,0,12.662373,2.54436,-4.249066,-8.406431,-10.299077
attn_0_2_outputs,1,2.874053,7.271783,-0.90393364,-5.438341,-8.241028
attn_0_2_outputs,2,-2.4153283,1.249425,6.9100757,-2.0006323,-8.70784
attn_0_2_outputs,3,-6.3554764,-4.6737704,0.021502413,7.1687856,-1.3787818
attn_0_2_outputs,4,-8.521622,-7.321229,-3.046059,3.4124966,10.726074
attn_0_2_outputs,</s>,-1.8578418,-2.6656096,-4.077629,0.20807894,6.7849145
attn_0_2_outputs,<pad>,0.092216395,-0.7707133,0.16602008,0.17321993,0.7220149
attn_0_2_outputs,<s>,-9.541172,-5.166671,-0.87453365,4.0391154,10.82512
attn_0_3_outputs,0,16.349298,4.3640847,-3.3730683,-9.79156,-14.669813
attn_0_3_outputs,1,4.139899,8.263065,-0.17833088,-6.8866434,-11.679859
attn_0_3_outputs,2,-3.926204,-0.5807447,5.967192,-1.0567814,-5.560351
