epoch,epoch_loss,split,loss,acc,sample_fn
0,1.2516677,train,1.1644958,0.4044311551319587,gumbel_soft
0,1.2516677,val,1.1680295,0.39858709797360103,gumbel_soft
0,1.2516677,test,1.172458,0.39921411253239697,gumbel_soft
1,1.1541479,train,1.1360298,0.4412155568014286,gumbel_soft
1,1.1541479,val,1.1429352,0.4255437813720022,gumbel_soft
1,1.1541479,test,1.1371514,0.44076582225566424,gumbel_soft
2,1.105982,train,1.057202,0.48815382379202227,gumbel_soft
2,1.105982,val,1.0582542,0.48921732664063955,gumbel_soft
2,1.105982,test,1.0571445,0.4817322966307165,gumbel_soft
3,1.0036622,train,0.9581967,0.5849062480533234,gumbel_soft
3,1.0036622,val,0.96558434,0.5831939022123072,gumbel_soft
3,1.0036622,test,0.9734531,0.5707716746091464,gumbel_soft
4,0.9255239,train,0.9047678,0.5836915218339251,gumbel_soft
4,0.9255239,val,0.92099977,0.5650678564788995,gumbel_soft
4,0.9255239,test,0.90622956,0.5857369785135023,gumbel_soft
5,0.8854543,train,0.8778994,0.6015801823127557,gumbel_soft
5,0.8854543,val,0.8648868,0.611916713143707,gumbel_soft
5,0.8854543,test,0.8869215,0.6038792743081682,gumbel_soft
6,0.87155,train,0.865967,0.6079756639465105,gumbel_soft
6,0.87155,val,0.85251004,0.6219557538575944,gumbel_soft
6,0.87155,test,0.87322956,0.6125741994816487,gumbel_soft
7,0.85416,train,0.84969074,0.6138416495359122,gumbel_soft
7,0.85416,val,0.89700925,0.5937906674102993,gumbel_soft
7,0.85416,test,0.8402823,0.6236100660479893,gumbel_soft
8,0.8489635,train,0.8504151,0.620455158952636,gumbel_soft
8,0.8489635,val,0.85293645,0.6246514221974344,gumbel_soft
8,0.8489635,test,0.882919,0.6244461165454394,gumbel_soft
9,0.847073,train,0.8451611,0.616561805685334,gumbel_soft
9,0.847073,val,0.85541004,0.6118237590630229,gumbel_soft
9,0.847073,test,0.82424474,0.6320541760722348,gumbel_soft
10,0.8559322,train,0.83586866,0.6188562885441974,gumbel_soft
10,0.8559322,val,0.9240774,0.5795686930656255,gumbel_soft
10,0.8559322,test,0.8937326,0.600869492517348,gumbel_soft
11,0.84767556,train,0.853879,0.6145268797109574,gumbel_soft
11,0.84767556,val,0.9175857,0.586447295036252,gumbel_soft
11,0.84767556,test,0.8177997,0.63615082350974,gumbel_soft
12,0.83922577,train,0.84165436,0.6239020743786208,gumbel_soft
12,0.83922577,val,0.86938053,0.6108012641754973,gumbel_soft
12,0.83922577,test,0.87375015,0.6080595267954184,gumbel_soft
13,0.8240747,train,0.8284775,0.6288336551838701,gumbel_soft
13,0.8240747,val,0.8035595,0.6392452128648448,gumbel_soft
13,0.8240747,test,0.8690958,0.6168380570186439,gumbel_soft
14,0.8207446,train,0.8397221,0.6243277476691792,gumbel_soft
14,0.8207446,val,0.8697759,0.6161926008551776,gumbel_soft
14,0.8207446,test,0.8701611,0.6083103419446535,gumbel_soft
15,0.8367037,train,0.85261476,0.6106335264436554,gumbel_soft
15,0.8367037,val,0.8205512,0.6235359732292247,gumbel_soft
15,0.8367037,test,0.8546401,0.6098988378898086,gumbel_soft
16,0.83951086,train,0.8424233,0.6193338732116531,gumbel_soft
16,0.83951086,val,0.815608,0.6210262130507529,gumbel_soft
16,0.83951086,test,0.84542304,0.6226068054510493,gumbel_soft
17,0.85022414,train,0.8564517,0.6161465146701551,gumbel_soft
17,0.85022414,val,0.8719678,0.6158207845324409,gumbel_soft
17,0.85022414,test,0.8708795,0.6007858874676031,gumbel_soft
18,0.8540349,train,0.84794956,0.6204655412280156,gumbel_soft
18,0.8540349,val,0.81637394,0.6448224577058933,gumbel_soft
18,0.8540349,test,0.8061129,0.6437588830365354,gumbel_soft
19,0.8621107,train,0.8611474,0.5941049440395357,gumbel_soft
19,0.8621107,val,0.8327634,0.6023424428332403,gumbel_soft
19,0.8621107,test,0.86034036,0.5955187693336678,gumbel_soft
20,0.8669877,train,0.85726863,0.6097717975871592,gumbel_soft
20,0.8669877,val,0.92240995,0.5953708867819297,gumbel_soft
20,0.8669877,test,0.8560643,0.6058021904523033,gumbel_soft
21,0.8711193,train,0.86128354,0.6119105463153305,gumbel_soft
21,0.8711193,val,0.8738554,0.6038297081241867,gumbel_soft
21,0.8711193,test,0.83305895,0.6211855196053842,gumbel_soft
22,0.8509774,train,0.85807663,0.6010922153699205,gumbel_soft
22,0.8509774,val,0.8582346,0.6019706265105038,gumbel_soft
22,0.8509774,test,0.8531482,0.6170888721678789,gumbel_soft
23,0.8755183,train,0.87224174,0.6000332232812143,gumbel_soft
23,0.8755183,val,0.8552683,0.620468488566648,gumbel_soft
23,0.8755183,test,0.8838918,0.5953515592341777,gumbel_soft
24,0.88103116,train,0.8653311,0.5999190182520401,gumbel_soft
24,0.88103116,val,0.8744097,0.6008551775422941,gumbel_soft
24,0.88103116,test,0.8720272,0.6034612490594432,gumbel_soft
25,0.88432896,train,0.87612474,0.5956622853464565,gumbel_soft
25,0.88432896,val,0.85858977,0.6018776724298197,gumbel_soft
25,0.88432896,test,0.8590456,0.6081431318451634,gumbel_soft
26,0.88345987,train,0.88436073,0.5893498619157375,gumbel_soft
26,0.88345987,val,0.8250604,0.6199107640825432,gumbel_soft
26,0.88345987,test,0.86173004,0.5970236602290778,gumbel_soft
27,0.87176657,train,0.88644457,0.5928071596171017,gumbel_soft
27,0.87176657,val,0.90166557,0.5780814277746793,gumbel_soft
27,0.87176657,test,0.87819445,0.5910040966474375,gumbel_soft
28,0.8777152,train,0.89384586,0.5878029028841961,gumbel_soft
28,0.8777152,val,0.9626398,0.5605131065253764,gumbel_soft
28,0.8777152,test,0.89054126,0.5873254744586573,gumbel_soft
29,0.88154614,train,0.9092767,0.5726136340040283,gumbel_soft
29,0.88154614,val,0.9574424,0.5616285554935861,gumbel_soft
29,0.88154614,test,0.91745824,0.5756207674943566,gumbel_soft
30,0.9046613,train,0.8934381,0.5872422600137046,gumbel_soft
30,0.9046613,val,0.8575647,0.6068042387060792,gumbel_soft
30,0.9046613,test,0.86559415,0.6045481147061282,gumbel_soft
31,0.8964904,train,0.89446247,0.580036960900351,gumbel_soft
31,0.8964904,val,0.9222716,0.5663692136084774,gumbel_soft
31,0.8964904,test,0.8978884,0.5762060028425717,gumbel_soft
32,0.90726876,train,0.9037288,0.5794140243775826,gumbel_soft
32,0.90726876,val,0.9122355,0.5753857594348392,gumbel_soft
32,0.90726876,test,0.86415994,0.6003678622188781,gumbel_soft
33,0.89388806,train,0.89449406,0.5808363961045703,gumbel_soft
33,0.89388806,val,0.9123081,0.5769659788064696,gumbel_soft
33,0.89388806,test,0.8904593,0.5844829027673272,gumbel_soft
34,0.9256035,train,0.91998076,0.5652318362092236,gumbel_soft
34,0.9256035,val,0.9057416,0.5718535043688417,gumbel_soft
34,0.9256035,test,0.9087799,0.581807541175487,gumbel_soft
35,0.9198688,train,0.9127987,0.5714715837122863,gumbel_soft
35,0.9198688,val,0.91046417,0.5692507901096858,gumbel_soft
35,0.9198688,test,0.8976656,0.5793829947328819,gumbel_soft
36,0.9234562,train,0.90863496,0.5780020349259744,gumbel_soft
36,0.9234562,val,0.8895572,0.5821714073247816,gumbel_soft
36,0.9234562,test,0.88788164,0.5803862553298219,gumbel_soft
37,0.927899,train,0.9098277,0.5746900890799228,gumbel_soft
37,0.927899,val,0.9235672,0.5649749023982152,gumbel_soft
37,0.927899,test,0.9101528,0.5756207674943566,gumbel_soft
38,0.91561764,train,0.9231349,0.5680039037355427,gumbel_soft
38,0.91561764,val,0.9326203,0.5600483361219557,gumbel_soft
38,0.91561764,test,0.8996,0.5790485745339018,gumbel_soft
39,0.9250025,train,0.92236376,0.5668099420669034,gumbel_soft
39,0.9250025,val,0.9316939,0.5659044432050567,gumbel_soft
39,0.9250025,test,0.9148499,0.5726945907532816,gumbel_soft
40,0.915985,train,0.9300394,0.5683049897215474,gumbel_soft
40,0.915985,val,0.950137,0.5546569994422755,gumbel_soft
40,0.915985,test,0.92169696,0.5660897918234261,gumbel_soft
41,0.9331246,train,0.93741876,0.5657301854274382,gumbel_soft
41,0.9331246,val,0.9165279,0.575199851273471,gumbel_soft
41,0.9331246,test,0.9424852,0.5661733968731711,gumbel_soft
42,0.9356814,train,0.92917126,0.5636018189746465,gumbel_soft
42,0.9356814,val,0.93029183,0.5658114891243725,gumbel_soft
42,0.9356814,test,0.9413463,0.5560571858540256,gumbel_soft
43,0.93233085,train,0.9415689,0.5552856163956893,gumbel_soft
43,0.93233085,val,0.9284874,0.5594906116378509,gumbel_soft
43,0.93233085,test,0.95984805,0.5558899757545356,gumbel_soft
44,0.93745804,train,0.950164,0.5498349218214664,gumbel_soft
44,0.93745804,val,0.9525815,0.5556794943298011,gumbel_soft
44,0.93745804,test,0.936278,0.5620767494356659,gumbel_soft
45,0.93857276,train,0.93412626,0.5610062501297784,gumbel_soft
45,0.93857276,val,0.96814454,0.5506599739728574,gumbel_soft
45,0.93857276,test,0.93326867,0.5657553716244461,gumbel_soft
46,0.94165665,train,0.9448729,0.5536867459872505,gumbel_soft
46,0.94165665,val,0.9794921,0.5405279791782859,gumbel_soft
46,0.94165665,test,0.9490387,0.5578964969484157,gumbel_soft
47,0.94832855,train,0.9453371,0.5560954338752881,gumbel_soft
