feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,2.0272338,1.898719,0.7493435,-3.0512977,-5.033327,-3.7090104
attn_0_0_outputs,1,1.1662358,2.045053,0.60344565,-3.5601437,-5.831065,-5.1002526
attn_0_0_outputs,2,1.7317703,1.2441218,0.66727966,-3.3246038,-5.3816752,-3.794868
attn_0_0_outputs,3,2.2133334,1.8810817,0.8383852,-2.9306831,-5.0420947,-2.423852
attn_0_0_outputs,4,1.2888429,1.5455716,1.1452034,-2.580733,-4.589255,-3.1448905
attn_0_0_outputs,5,1.7748414,1.0175935,0.63810474,-2.832781,-4.6234975,-5.08577
attn_0_0_outputs,<pad>,0.9308816,0.6782724,0.27099028,-1.8990146,-2.7422593,-1.4626837
attn_0_0_outputs,<s>,1.023854,1.2314719,0.32438928,-3.1802583,-4.834174,-1.8842154
attn_0_1_outputs,0,1.7400457,0.9163558,0.4623204,-3.460706,-5.753566,-4.542126
attn_0_1_outputs,1,2.4807036,1.1309247,0.97085345,-2.628753,-4.480756,-5.3955154
attn_0_1_outputs,2,1.8048389,1.4029845,0.68940854,-2.9820426,-4.85602,-3.1065626
attn_0_1_outputs,3,1.1477207,0.85653603,0.8710557,-2.9775674,-4.890806,-2.4539149
attn_0_1_outputs,4,1.6577771,1.2543706,0.9907679,-2.824068,-4.2810082,-3.5078676
attn_0_1_outputs,5,1.2469817,0.9994819,0.6754494,-3.372439,-6.1759715,-5.4529386
attn_0_1_outputs,<pad>,0.9600143,0.20666505,-0.060966436,-1.3012887,-1.6972156,-0.98849076
attn_0_1_outputs,<s>,1.381814,0.037616044,0.25469398,-1.5841247,-1.7630572,-0.38804528
attn_1_0_outputs,0,1.2275919,0.8407721,0.708698,-2.3456604,-4.5378947,-4.371081
attn_1_0_outputs,1,1.8039656,1.1734004,0.62597007,-2.407482,-5.402207,-3.101308
attn_1_0_outputs,2,2.0099165,0.33950657,0.2765629,-1.4044955,-3.8439682,-2.3634212
attn_1_0_outputs,3,2.1700633,1.1471452,0.27172974,-3.3247874,-6.2839646,-6.932658
attn_1_0_outputs,4,2.6824558,1.5220706,0.5512027,-2.9030552,-5.8537908,-1.8760728
attn_1_0_outputs,5,1.8449327,1.2171698,0.16290323,-1.7348462,-2.3260381,-3.2685277
attn_1_0_outputs,<pad>,1.2033242,0.32994786,0.055681925,-2.301845,-4.059322,-0.4161447
attn_1_0_outputs,<s>,2.0211885,1.4726007,1.1764282,-1.996398,-4.996602,-2.031412
attn_1_1_outputs,0,1.209504,2.0031798,0.4431975,-2.8685894,-4.9541106,-0.6373059
attn_1_1_outputs,1,1.4730489,0.9886931,0.83108515,-3.3816106,-6.003149,-5.5136085
attn_1_1_outputs,2,1.890804,1.379311,1.2723631,-2.7657835,-5.186578,-6.1288185
attn_1_1_outputs,3,1.1606629,1.375084,0.6616594,-1.8825717,-3.9705656,-2.4092352
attn_1_1_outputs,4,1.2731031,0.7096993,0.017293401,-1.112353,-4.3979273,-3.2296798
attn_1_1_outputs,5,0.705285,1.1634022,-0.18117373,-1.6971155,-3.795805,-1.6095603
attn_1_1_outputs,6,0.9847313,1.0569514,0.04029937,-2.8890567,-4.101334,-1.9819291
attn_1_1_outputs,7,0.4111207,1.3528335,0.552334,-1.437571,-3.436395,-1.4227164
mlp_0_0_outputs,0,0.70858175,0.2906327,-0.22328657,-0.18460472,-0.7151824,-1.0291669
mlp_0_0_outputs,1,0.32271385,0.3563943,-0.20461176,-0.100657605,-0.3202501,-0.46370503
mlp_0_0_outputs,2,0.38713214,0.2957059,0.31321865,-0.21413562,-0.5684782,-0.6003827
mlp_0_0_outputs,3,-0.071977,1.2580416,0.6957669,-0.6972882,-0.57748824,-0.048602685
mlp_0_0_outputs,4,0.16089539,0.23635441,-0.5830057,-0.0067182654,-0.45700568,-1.1053604
mlp_0_0_outputs,5,1.025421,-0.22778925,0.24653347,-0.38283116,-0.4184839,-0.6620183
mlp_0_0_outputs,6,1.5615509,1.5093741,0.9031709,-4.174965,-8.4084835,-13.104677
mlp_0_0_outputs,7,0.43845257,0.45223498,-0.5213714,-0.27137354,-0.4465936,-0.549522
mlp_1_0_outputs,0,1.9939613,1.3135939,1.1148474,-4.9108934,-9.339254,-13.07494
mlp_1_0_outputs,1,0.5705386,0.2751563,0.24940749,0.28926757,-1.0666566,-0.7607645
mlp_1_0_outputs,2,0.4544697,0.86552864,-0.7562057,0.054539222,-0.18931629,-0.22930498
mlp_1_0_outputs,3,0.41793206,0.097676985,0.1571328,-0.4614486,-0.8454968,-0.9803713
