feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,0.09879459,0.37666595,0.3808123,0.5397106,0.050041057,0.034421124,-0.8659375
attn_0_0_outputs,1,0.46250036,-0.78583026,-0.63295376,1.2444162,-1.5182872,0.0004871787,-0.7481047
attn_0_0_outputs,2,0.17947079,-0.05735414,0.5416841,-0.4440996,1.6038574,-1.8477608,-0.0059167244
attn_0_0_outputs,3,-0.06387344,-0.15320867,0.92073673,1.2218126,-1.6696111,0.53085923,-1.0224916
attn_0_0_outputs,4,0.26799908,0.62708634,-0.24338971,-0.15489054,0.19819692,-0.14571403,-2.1371965
attn_0_0_outputs,5,0.9351883,-0.38428918,1.7612895,0.20096081,1.1677972,1.2644106,-0.85035294
attn_0_0_outputs,<pad>,0.080117345,0.19251138,-0.15994284,-0.6509961,-0.16537748,-0.32139072,0.38756964
attn_0_0_outputs,<s>,0.24847767,0.8029221,-0.44467804,-0.6439217,-0.24711476,-0.180655,4.1873317
attn_0_1_outputs,0,-0.23276784,-0.060158767,0.12050099,-0.12355584,0.15812945,-0.1589914,-0.7760088
attn_0_1_outputs,1,0.582152,-0.4263339,0.6083689,-0.056450073,0.5379945,0.14647582,-0.5365948
attn_0_1_outputs,2,0.4844496,0.34128207,-0.65679985,0.1524429,0.5368358,0.09487115,0.3818582
attn_0_1_outputs,3,0.25241432,0.19678628,0.35696277,-0.3257811,0.5077356,0.060392756,0.13223898
attn_0_1_outputs,4,0.4452916,0.30371848,0.47257316,0.22976871,-0.5233254,0.1616609,0.54439056
attn_0_1_outputs,5,0.7129206,0.5388842,0.68412787,0.39824465,0.68462497,-0.2600948,-0.18420728
attn_0_1_outputs,<pad>,0.24862947,-0.25549966,0.16950193,-0.13772929,-0.034727056,-0.55909365,0.382667
attn_0_1_outputs,<s>,-0.7481141,-0.8013984,-0.2744865,1.979371,0.12976623,-0.63943046,-0.79672694
attn_0_2_outputs,0,0.582866,0.5034705,-0.50600636,-0.17860302,0.19265264,0.26044974,-0.7151843
attn_0_2_outputs,1,0.10606884,-0.14939255,0.10303379,-1.1483439,0.22940603,0.0707397,-0.38868296
attn_0_2_outputs,2,-1.15887,0.27299243,-0.09904917,-0.6082895,0.24174255,-0.06179953,1.4837054
attn_0_2_outputs,3,-0.26725614,0.3365542,-0.9310054,1.0194765,-0.1791711,-0.30988973,-1.8573059
attn_0_2_outputs,4,0.21721014,0.5522346,0.053581405,-0.85881215,-0.088015884,0.27847987,1.1576061
attn_0_2_outputs,5,0.5959336,0.7692203,0.64565647,0.08828031,0.9088769,0.12468473,-0.43918464
attn_0_2_outputs,<pad>,-0.2826363,-1.06099,0.33941072,0.18258776,-0.3488994,0.013051864,0.5100713
attn_0_2_outputs,<s>,0.69644594,-0.14699064,0.9981575,0.16183597,0.018363241,-0.2991528,0.25162235
attn_0_3_outputs,0,1.3062379,0.21549265,0.20756164,0.21426557,0.3479423,-0.4539101,-0.22769263
attn_0_3_outputs,1,-0.26078787,1.2496511,-0.06823265,0.4670666,0.36723047,-0.30832168,-0.07335518
attn_0_3_outputs,2,-0.39844352,0.06159417,0.68674636,-0.1899489,-0.11347166,-0.32032457,-0.4511757
attn_0_3_outputs,3,-0.1432496,0.18360923,-0.07747219,0.53783506,0.28120372,-0.042126548,-0.038174007
attn_0_3_outputs,4,0.17671408,0.25530198,-0.29129553,0.15226793,1.1166047,-0.0738557,-0.29339862
attn_0_3_outputs,5,0.16668263,0.14327937,-0.08139412,0.07961584,0.18050943,0.72195303,-0.4997953
attn_0_3_outputs,<pad>,0.41351166,-0.2043209,0.035665683,-0.48201743,0.08305059,-0.46296212,0.23029828
attn_0_3_outputs,<s>,0.346727,0.53511447,-0.38988197,-0.024211185,0.23513947,-0.6894005,-0.18893747
attn_1_0_outputs,0,0.5183396,-0.11414169,-0.35210893,0.5247291,0.15190952,1.0009646,-0.7539653
attn_1_0_outputs,1,-0.29762515,1.6133001,0.32879964,0.77935493,-0.8288952,-1.2774987,0.4931821
attn_1_0_outputs,2,-0.09588928,-0.0989761,1.1012232,-0.6284911,-0.24234855,-0.3503074,-1.313828
attn_1_0_outputs,3,-0.14762515,0.50564253,1.2334156,0.122700095,-0.3228367,0.41024148,0.46017736
attn_1_0_outputs,4,-0.05781565,0.35776922,-0.97635204,0.025146686,0.53547174,0.27089474,-1.5734118
