feature,value,0,1,2,3,4
attn_0_0_outputs,0,4.8929777,-1.9010547,-3.5143764,-2.7986119,0.03807635
attn_0_0_outputs,1,-1.6450824,4.130974,-0.28236145,-0.043821536,-1.1982243
attn_0_0_outputs,2,-1.8468859,0.28866795,3.7796352,1.2575791,-4.034694
attn_0_0_outputs,3,-2.3796968,-1.4993395,0.03275988,3.990735,-1.2372935
attn_0_0_outputs,4,-0.36153913,-1.8044015,-3.1884787,-3.1464562,3.7085164
attn_0_0_outputs,</s>,3.1422062,-1.4901924,0.15530057,-1.2594308,-0.063387
attn_0_0_outputs,<pad>,0.17037226,0.19584765,-0.4759605,-0.7471742,-0.25822845
attn_0_0_outputs,<s>,-1.08944,0.055490497,0.9442249,-1.106984,0.6838089
attn_0_1_outputs,0,-0.6396867,1.2475573,-0.57140946,-1.8969578,0.8641642
attn_0_1_outputs,1,2.0822878,0.7496062,0.98484397,-0.87314475,0.08075201
attn_0_1_outputs,2,0.3999288,-0.8544527,0.44007048,1.507288,-0.03983958
attn_0_1_outputs,3,-0.5802745,-0.49930564,2.188065,0.40580207,-0.4276705
attn_0_1_outputs,4,0.40430585,-1.514721,-0.4424397,1.5590016,-1.6355326
attn_0_1_outputs,</s>,-2.1987877,1.1282388,-1.6057817,0.5538821,0.54309773
attn_0_1_outputs,<pad>,0.026806425,-0.18774226,-0.4805234,-0.053553067,0.3562561
attn_0_1_outputs,<s>,2.0395007,0.1749984,-2.2262511,0.25430164,-0.97685146
attn_0_2_outputs,0,3.439774,-2.6197605,0.09315843,0.26680082,-2.1945481
attn_0_2_outputs,1,-1.7914944,2.3740268,0.15538347,0.09165038,-0.82231474
attn_0_2_outputs,2,-0.39168844,-0.5559605,3.357183,-2.6459723,-0.7268155
attn_0_2_outputs,3,-0.024194546,-0.10095762,-1.4780017,4.586739,-2.1656387
attn_0_2_outputs,4,-1.3865726,-0.5324336,-1.1769204,-3.1527724,3.2124796
attn_0_2_outputs,</s>,1.0693134,0.9385791,-1.206633,-0.25246936,-0.121740274
attn_0_2_outputs,<pad>,0.18349431,-0.05269486,0.0289576,-0.19278082,0.36386263
attn_0_2_outputs,<s>,0.45065048,-0.4865486,-0.7034807,-0.04991356,0.2415195
attn_0_3_outputs,0,7.7358007,-7.1243587,-0.82599443,-2.8670878,-2.1044922
attn_0_3_outputs,1,-3.7708414,10.318365,-2.884665,-1.6646075,-5.5373626
attn_0_3_outputs,2,-1.5224539,-0.068308435,8.3826475,-4.706342,-3.0875244
attn_0_3_outputs,3,-4.03783,-1.164083,-3.813774,6.928574,0.33873925
attn_0_3_outputs,4,-2.0572348,-6.2418313,-3.5188327,0.38879138,6.5746036
attn_0_3_outputs,</s>,2.768876,-1.3346474,0.03006264,-0.9352678,-0.5206438
attn_0_3_outputs,<pad>,0.5348967,-0.45172098,0.036559477,-0.43824294,-0.53103054
attn_0_3_outputs,<s>,-0.45285547,0.041160975,-0.32807776,-0.9948405,-0.26448154
attn_1_0_outputs,0,2.5341804,-1.8921167,-1.7506578,0.003495093,-0.51592624
attn_1_0_outputs,1,-0.0001468691,1.4532206,-1.3331492,0.25144485,0.4658886
attn_1_0_outputs,2,-0.55269074,-1.3625016,1.181148,-1.5269724,0.033354245
attn_1_0_outputs,3,-0.13420625,-1.1508673,-0.6410381,0.43744037,1.280868
attn_1_0_outputs,4,-1.9914051,-0.26116508,-1.098137,-0.1601548,1.9061062
attn_1_0_outputs,</s>,-1.545847,1.7564579,0.9725758,2.5087607,-1.1212466
attn_1_0_outputs,<pad>,0.1495872,-0.27296737,0.7375151,0.27403465,-0.12206411
attn_1_0_outputs,<s>,1.0970287,-0.97093093,0.4432367,-2.3174522,-0.22397493
attn_1_1_outputs,0,3.661661,-3.4695497,-4.7567067,3.112644,1.4300811
attn_1_1_outputs,1,-1.999575,-3.3302343,4.008077,0.96482235,0.6741585
attn_1_1_outputs,2,-0.56340396,-0.13542141,0.008412097,0.14091572,-0.41184616
attn_1_1_outputs,3,-0.7880733,0.8015564,0.18030858,0.12780198,-0.04901442
attn_1_1_outputs,4,-2.6631007,6.2795396,-3.832614,0.00041861704,-0.383935
attn_1_1_outputs,5,-3.2363143,-1.0216268,0.55885094,1.6541438,2.5843303
attn_1_1_outputs,6,-0.5121287,0.80476224,-1.3447338,1.481174,-0.06496433
attn_1_1_outputs,7,7.411378,0.8272771,4.5780025,-4.932982,-5.9871817
attn_1_2_outputs,0,1.510638,-0.3570313,0.13626523,0.20339346,-1.1769251
attn_1_2_outputs,1,-0.53794134,2.264448,-2.2525184,-0.48369306,-1.5308224
attn_1_2_outputs,2,-0.4497419,0.045013957,2.6804788,0.08665851,-1.3703207
attn_1_2_outputs,3,-0.8718642,0.51648074,0.66583776,2.1070757,-1.3090868
attn_1_2_outputs,4,-1.2621942,-0.7295124,-1.5483032,-1.1696756,1.9007982
attn_1_2_outputs,</s>,1.4156494,-0.6073975,0.4736278,-1.2327665,-0.2211278
attn_1_2_outputs,<pad>,-0.41889185,0.6776742,-0.2845523,0.100719705,0.0044494784
attn_1_2_outputs,<s>,0.0052941013,0.19346371,-0.84712493,0.04759078,1.3064226
attn_1_3_outputs,0,0.24970117,-0.35251525,-1.0954794,-0.25590438,-0.670286
attn_1_3_outputs,1,0.13186075,-0.33327508,-0.64049625,0.60671663,-0.2546441
attn_1_3_outputs,2,0.22914466,0.55479014,-0.3348304,0.66687185,-0.17933804
attn_1_3_outputs,3,0.54591215,-0.14356282,-1.0319118,0.614309,0.33110294
attn_1_3_outputs,4,0.7667208,0.04576975,-0.31871578,0.5784381,0.23455796
attn_1_3_outputs,</s>,-0.5076681,-0.8772928,3.4562273,-1.2662215,-0.42086503
attn_1_3_outputs,<pad>,-0.1609487,0.32527724,0.14273919,-0.2813011,-0.5713323
attn_1_3_outputs,<s>,-1.3530582,2.0216763,-1.9326751,-0.49423185,1.0394287
attn_2_0_outputs,0,0.657789,0.031383034,-0.8813821,0.07287351,-0.27010384
attn_2_0_outputs,1,-0.7890805,2.7504945,0.3396351,1.3243291,-0.91766757
attn_2_0_outputs,2,0.056327887,-0.23637617,-0.24357234,0.066179454,-0.19499938
