feature,value,0,1,2,3,4
attn_0_0_outputs,0,7.284961,3.7576299,-1.3347552,-6.3408437,-10.084685
attn_0_0_outputs,1,-3.3435304,4.4591312,-0.3793997,-1.4542656,-0.3045568
attn_0_0_outputs,2,-2.7947443,-11.360863,-1.8278345,2.8529222,6.9773316
attn_0_0_outputs,3,-0.50475067,-1.6342729,-1.0174074,0.68600297,1.9903854
attn_0_0_outputs,4,-4.6338897,-3.36744,0.49892643,3.7229366,1.5043947
attn_0_0_outputs,</s>,-0.20985311,0.229739,-0.013094519,-0.16712336,0.009962021
attn_0_0_outputs,<pad>,-0.24193367,0.14778988,-0.4275768,0.61033976,0.26500544
attn_0_0_outputs,<s>,-1.0151781,-1.7285734,1.0615764,-0.3156968,0.80916
attn_0_1_outputs,0,2.3206978,0.10850651,-0.31691155,-0.44662476,-3.3358514
attn_0_1_outputs,1,-0.42459258,2.2007833,0.2716876,-0.3118334,-1.6668029
attn_0_1_outputs,2,-1.4504273,0.2563249,1.0894965,0.4210081,-1.327564
attn_0_1_outputs,3,-1.9681096,-0.70972395,-0.28704178,1.8541133,-0.39039594
attn_0_1_outputs,4,-2.472878,-1.7591155,-1.3160517,0.375512,4.123238
attn_0_1_outputs,</s>,-2.9969928,-4.3011565,-2.1095765,1.0899111,6.8758297
attn_0_1_outputs,<pad>,0.5182667,-0.5103743,-0.33720443,-0.6209886,-0.25037792
attn_0_1_outputs,<s>,-0.6688514,0.1716514,0.35331228,0.47705734,0.59954447
attn_0_2_outputs,0,7.6140614,5.1378627,-0.27467307,-7.7737484,-10.235654
attn_0_2_outputs,1,-1.0947785,-0.040178142,0.14387587,1.4166665,0.3490775
attn_0_2_outputs,2,-1.254061,-0.18325059,0.1629408,1.0156789,0.32968172
attn_0_2_outputs,3,-1.4722316,-1.7304522,0.5406199,3.8343418,-2.3715608
attn_0_2_outputs,4,-5.106162,-5.368264,-3.20877,-1.467063,9.148958
attn_0_2_outputs,</s>,-0.009356972,0.01155344,0.23056674,0.23751223,0.3767273
attn_0_2_outputs,<pad>,0.31856388,0.022875331,0.13179374,-0.07225866,0.44853207
attn_0_2_outputs,<s>,-6.3905864,-1.3415946,0.7981481,4.8635654,-0.25835913
attn_0_3_outputs,0,0.986742,0.35641372,-0.15729372,-1.2353681,-2.4011667
attn_0_3_outputs,1,1.0445766,1.732938,0.24559109,-0.6600174,-2.126432
attn_0_3_outputs,2,-0.10825217,0.43091458,0.66414165,0.20404075,-1.0293257
attn_0_3_outputs,3,-1.6616594,-0.66647357,-0.06385257,1.3280761,-0.18749939
attn_0_3_outputs,4,-2.4302824,-2.1174889,-1.3779973,0.64207965,2.7156389
attn_0_3_outputs,</s>,-3.6440928,-5.2320504,-2.152113,0.28804043,8.240491
attn_0_3_outputs,<pad>,0.2622064,0.4484133,0.33681077,0.5495144,0.31251165
attn_0_3_outputs,<s>,-0.52935874,-0.57401824,-0.3285332,-0.1316838,0.6107793
attn_1_0_outputs,0,0.85878205,-0.1480239,0.02196918,-0.113416895,-0.44679216
attn_1_0_outputs,1,0.17456906,0.2947392,0.037071247,-0.3947836,0.25782326
attn_1_0_outputs,2,-0.3031737,-0.015659554,0.02264729,0.061630752,-0.24508135
attn_1_0_outputs,3,-0.28818625,0.04557816,-0.024826756,0.11220972,-0.20228878
attn_1_0_outputs,4,-1.7400864,-0.8350194,0.059299495,0.7643863,1.8258433
attn_1_0_outputs,</s>,-2.0705547,-0.84919,-0.41718936,-0.17066975,2.4799235
attn_1_0_outputs,<pad>,0.72320116,-0.029502485,1.1488128,0.22802466,0.27539644
attn_1_0_outputs,<s>,-1.0937797,-0.41443917,-0.9397208,-0.76607037,3.6584592
attn_1_1_outputs,0,4.172311,0.5155694,0.31682017,-1.6003529,-3.9324784
attn_1_1_outputs,1,0.92991066,3.1962817,0.4734514,-1.871165,-4.1391253
attn_1_1_outputs,2,-0.49392328,0.4124459,2.1157084,-0.27204695,-2.648221
attn_1_1_outputs,3,-1.9657786,-1.0283065,0.36673185,2.2960794,-0.39937532
attn_1_1_outputs,4,-3.7264378,-3.8018963,-1.4373512,0.97012836,6.858119
attn_1_1_outputs,</s>,-4.2449117,-4.5367126,-1.7982484,1.0680436,6.0167146
attn_1_1_outputs,<pad>,-0.11086093,-0.024434533,0.19864534,0.2689342,0.39032644
attn_1_1_outputs,<s>,-0.63969517,-1.2317718,-2.1106577,0.41359225,2.403693
attn_1_2_outputs,0,-0.8364358,0.6613943,1.916207,0.63005775,-1.7428608
attn_1_2_outputs,1,3.2714286,1.6035471,-2.9057078,-2.8210607,0.1998774
