feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,-0.5756894,-0.68663,-0.6783727,-0.025198754,-0.12764393,-0.79464066,1.0427165
attn_0_0_outputs,1,0.022157678,0.07501226,-0.11325049,0.8221877,-0.063069865,-0.9163909,-0.5801879
attn_0_0_outputs,2,0.1566694,0.01373206,0.19862166,0.9683472,0.08935716,-0.4893794,0.077611364
attn_0_0_outputs,3,0.43759707,-0.021447344,0.42624015,1.0506055,0.19926831,-0.75235987,-0.5111319
attn_0_0_outputs,4,-0.40119603,-0.5463801,-0.502195,-0.4721189,1.5786022,-1.8759739,0.87904817
attn_0_0_outputs,5,0.26076755,0.18635014,0.12924927,-0.08576756,-1.5383767,4.081133,-1.6560601
attn_0_0_outputs,<pad>,-0.63292325,-0.5055874,0.1113679,-0.1775171,-0.5829168,-0.54896724,0.16970418
attn_0_0_outputs,<s>,0.24833909,-0.015999734,0.06423668,0.98659784,-1.9139471,-1.8733443,2.0566459
attn_0_0_outputs,_,0.2963797,0.3424729,0.027143026,0.21816024,0.51225585,0.026047865,-0.4532862
attn_0_0_outputs,_,0.288152,-0.11588021,-0.40432748,0.2959647,0.60610294,0.5256717,-0.49129587
attn_0_0_outputs,_,0.3634406,0.26241815,0.4234738,0.6052696,0.22043796,0.09522295,-0.7377472
attn_0_0_outputs,_,0.285337,0.4043062,0.47764775,0.42452446,0.49773777,0.7154116,-0.40771517
attn_0_0_outputs,_,0.32655573,-0.22430548,-0.11123099,0.46382618,-0.033312976,-0.0010204681,0.06703422
attn_0_0_outputs,_,0.97295237,-0.6072411,-0.007334066,-0.5151491,0.30332038,0.3895203,0.2990418
attn_0_0_outputs,_,0.66979474,-1.1567304,-0.48735538,-0.28037018,-0.042690426,0.8429126,0.3547644
attn_0_0_outputs,_,0.75004435,-0.8186748,-0.77850986,-0.34976992,-0.49389514,0.5486675,0.32583994
attn_0_1_outputs,0,0.27762905,-0.007897189,0.06980781,-0.020180319,-0.15664503,0.064637125,0.72144663
attn_0_1_outputs,1,-0.35580856,0.4558593,0.011325843,0.039069697,0.11031042,0.18079627,0.70046693
attn_0_1_outputs,2,-0.30072656,-0.058012832,0.69052863,0.10418241,-0.0532727,0.12990269,0.22889371
attn_0_1_outputs,3,-0.30489153,-0.08434147,0.00015868917,0.54420227,-0.0829287,0.0058665173,0.029201478
attn_0_1_outputs,4,-0.59977466,-0.26056728,-0.18328175,-0.2837567,0.14936367,-0.23863131,0.055427656
attn_0_1_outputs,5,-0.5242243,-0.25382993,-0.137864,-0.066609375,-0.17261489,0.59251857,-0.16570054
attn_0_1_outputs,<pad>,-0.42813078,-0.03693873,0.057006527,-0.202826,-0.2841598,0.060988955,0.5375395
attn_0_1_outputs,<s>,-0.35334685,-0.37858495,-0.28867045,-0.075540654,-0.13117717,-0.2581786,1.4707831
attn_0_1_outputs,_,0.3105318,0.8426654,0.5749553,0.244597,0.6178591,-0.2679911,-0.5476998
attn_0_1_outputs,_,0.27831128,0.43154478,0.10633199,-0.13917309,0.36344734,0.53502893,-0.7882908
attn_0_1_outputs,_,-0.26003912,-0.07179436,-0.015125685,0.42433527,0.57492954,0.4540562,0.044950802
attn_0_1_outputs,_,0.060591906,0.23830028,-0.036928963,-0.6573237,-0.48592484,0.22177596,-0.23421182
attn_0_1_outputs,_,0.25893238,-0.15047386,-0.14292768,-0.91317207,-0.022085905,0.178859,0.24065897
attn_0_1_outputs,_,0.77855164,0.044400796,0.19685853,0.3073473,-0.11342594,-0.16145724,0.274922
attn_0_1_outputs,_,0.5125826,0.21361731,-0.2923252,-0.29001045,-0.26595044,0.0206421,-0.18961298
attn_0_1_outputs,_,0.5086052,-0.52830714,-0.76191646,-0.57709163,-0.53698516,0.72718775,0.83881193
attn_0_2_outputs,0,-0.9385549,-0.2447492,-0.28604114,0.19747688,-0.34265384,-0.4641174,0.3312388
attn_0_2_outputs,1,0.03257605,-0.421271,0.11486151,0.49366605,0.14283715,-0.21739563,0.88230944
attn_0_2_outputs,2,-0.06296252,0.17150548,-0.63072497,0.4538018,-0.09948705,-0.17514235,0.117842525
attn_0_2_outputs,3,0.066686414,0.20513768,0.16072059,-0.12032295,0.15587093,-0.07080031,0.18680154
attn_0_2_outputs,4,-0.13934699,0.029168967,-0.1262051,0.34348974,-0.55097026,-0.2637985,0.23785894
attn_0_2_outputs,5,-0.24011448,-0.03461023,0.006326792,0.4352269,0.014355469,-0.36322415,-0.13234827
attn_0_2_outputs,<pad>,-0.37931246,-0.9534331,-0.379584,0.42716503,0.17370647,-0.124692105,0.72887117
attn_0_2_outputs,<s>,-0.4847696,0.078772,-0.51599944,-0.5059547,-0.91054326,1.2827531,-0.007305017
attn_0_2_outputs,_,0.70438826,0.4745125,1.0059987,-0.011343162,-0.15330544,0.105691366,-0.41788658
attn_0_2_outputs,_,0.6794349,0.3555621,0.54118997,0.8943701,0.3137974,0.5194117,0.019163672
attn_0_2_outputs,_,0.8238974,-0.095578596,0.21591704,0.35432157,0.06047787,0.2740081,-0.95636845
attn_0_2_outputs,_,0.6683087,0.31001955,0.36928916,-0.35695994,-0.5733717,0.5122691,-0.11890946
attn_0_2_outputs,_,0.8461558,0.015526275,-0.07643147,-0.14835693,-0.12948337,0.07356483,-0.66850126
attn_0_2_outputs,_,1.1611356,-0.3333694,-0.31170467,0.21868575,-0.153861,0.39068437,-0.22419532
attn_0_2_outputs,_,0.7028315,-0.68995416,-0.683171,-0.01702208,0.06653249,0.65845984,-0.41525
attn_0_2_outputs,_,0.548787,-0.72492874,-0.064864665,-1.1589028,-0.09329958,0.55748326,-0.5758426
attn_0_3_outputs,0,0.22887874,-0.36183783,-0.07759789,-0.8718786,-0.5070056,-0.14136346,1.2865621
attn_0_3_outputs,1,0.36476427,0.9084072,0.47513306,-1.4411434,0.5161454,0.110566504,-1.2347822
attn_0_3_outputs,2,-0.004746663,0.023860663,0.10816035,-1.0574714,-0.2049377,0.09847029,1.0915127
attn_0_3_outputs,3,-0.6401614,-1.1763484,-0.4947731,3.2926166,-0.3135652,-0.44598627,0.34882727
attn_0_3_outputs,4,0.14005336,0.35953146,0.22684796,-1.9948843,0.89203256,-0.22951013,-0.29020432
attn_0_3_outputs,5,-0.07816071,0.08024208,-0.40833363,-1.3891262,0.95705426,-0.10187259,0.7764023
attn_0_3_outputs,<pad>,-0.16783284,-0.6820591,0.17316003,0.53609616,0.12328828,0.07622497,0.52958816
attn_0_3_outputs,<s>,0.15466641,-0.51733094,0.35125104,-1.7153802,0.020502344,0.052276466,2.5254521
attn_0_3_outputs,_,0.61012506,0.13647784,0.28003788,0.3351772,0.37350327,0.030912379,-0.332151
